
                      Linear Probing Analysis(Table Size = 29)
                      ----- Inserts ----     ---------- Probes -----------        --------- Clusters -------
     N     lambda     success     failed     total          avg        max        number       avg       max

     1       0.03         1         0          0          0.00          1          1          1.00          1
     2       0.07         2         0          0          0.00          1          2          1.00          1
     3       0.10         3         0          0          0.00          1          2          1.50          2
     4       0.14         4         0          0          0.00          1          2          2.00          2
     5       0.17         5         0          0          0.00          1          3          1.67          2
     6       0.21         6         0          2          0.33          3          3          2.00          3
     7       0.24         7         0          3          0.43          2          3          2.33          3
     8       0.28         8         0          3          0.38          1          4          2.00          3
     9       0.31         9         0          3          0.33          1          4          2.25          3
     10       0.34         10         0          5          0.50          3          4          2.50          3
     11       0.38         11         0          5          0.45          1          4          2.75          3
     12       0.41         12         0          5          0.42          1          5          2.40          3
     13       0.45         13         0          5          0.38          1          6          2.17          3
     14       0.48         14         0          5          0.36          1          6          2.33          3
     15       0.52         15         0          6          0.40          2          5          3.00          7
     16       0.55         16         0          6          0.38          1          5          3.20          7
     17       0.59         17         0          8          0.47          3          4          4.25          7
     18       0.62         18         0          13          0.72          6          4          4.50          7
     19       0.66         19         0          18          0.95          6          3          6.33          11
     20       0.69         20         0          18          0.90          1          3          6.67          11
     21       0.72         21         0          23          1.10          6          2          10.50          13
     22       0.76         22         0          24          1.09          2          1          22.00          22
     23       0.79         23         0          24          1.04          1          1          23.00          23
     24       0.83         24         0          24          1.00          1          2          12.00          23
     25       0.86         25         0          46          1.84          23          2          12.50          24
     26       0.90         26         0          64          2.46          19          2          13.00          25
     27       0.93         27         0          88          3.26          25          2          13.50          26
     28       0.97         28         0          101          3.61          14          2          14.00          27
     29       1.00         29         0          108          3.72          8          1          29.00          29
                      Quadratic Probing Analysis(Table Size = 29)
                      ----- Inserts ----     ---------- Probes -----------        --------- Clusters -------
     N     lambda     success     failed     total          avg        max        number       avg       max

     1       0.03         1         0          0          0.00          1          1          1.00          1
     2       0.07         2         0          0          0.00          1          2          1.00          1
     3       0.10         3         0          0          0.00          1          2          1.50          2
     4       0.14         4         0          0          0.00          1          2          2.00          2
     5       0.17         5         0          0          0.00          1          3          1.67          2
     6       0.21         6         0          2          0.33          3          4          1.50          2
     7       0.24         7         0          3          0.43          2          4          1.75          2
     8       0.28         8         0          3          0.38          1          5          1.60          2
     9       0.31         9         0          3          0.33          1          5          1.80          3
     10       0.34         10         0          6          0.60          4          5          2.00          3
     11       0.38         11         0          6          0.55          1          5          2.20          3
     12       0.41         12         0          6          0.50          1          6          2.00          3
     13       0.45         13         0          8          0.62          3          7          1.86          3
     14       0.48         14         0          8          0.57          1          7          2.00          3
     15       0.52         15         0          9          0.60          2          6          2.50          6
     16       0.55         16         0          9          0.56          1          6          2.67          6
     17       0.59         17         0          14          0.82          6          6          2.83          6
     18       0.62         18         0          15          0.83          2          5          3.60          6
     19       0.66         19         0          17          0.89          3          5          3.80          7
     20       0.69         20         0          17          0.85          1          5          4.00          7
     21       0.72         21         0          18          0.86          2          4          5.25          10
     22       0.76         22         0          18          0.82          1          4          5.50          10
     23       0.79         23         0          18          0.78          1          4          5.75          10
     24       0.83         24         0          18          0.75          1          4          6.00          10
     25       0.86         25         0          25          1.00          8          4          6.25          10
     26       0.86         25         1          54          2.08          29          4          6.25          10
     27       0.90         26         1          63          2.33          10          4          6.50          10
     28       0.93         27         1          68          2.43          6          3          9.00          20
     29       0.97         28         1          68          2.34          1          2          14.00          25
                      Double Hashing Analysis(Table Size = 29)
                      ----- Inserts ----     ---------- Probes -----------        --------- Clusters -------
     N     lambda     success     failed     total          avg        max        number       avg       max

     1       0.03         2         0          2          2.00          2          1          1.00          1
     2       0.07         3         0          3          1.50          3          2          1.00          1
     3       0.10         4         0          4          1.33          4          2          1.50          2
     4       0.14         5         0          5          1.25          5          2          2.00          2
     5       0.17         6         0          6          1.20          6          3          1.67          2
     6       0.21         7         0          9          1.50          7          4          1.50          2
     7       0.24         8         0          11          1.57          8          4          1.75          2
     8       0.28         9         0          12          1.50          9          5          1.60          2
     9       0.31         10         0          13          1.44          10          5          1.80          2
     10       0.34         11         0          15          1.50          11          6          1.67          2
     11       0.38         12         0          16          1.45          12          5          2.20          4
     12       0.41         13         0          17          1.42          13          5          2.40          5
     13       0.45         14         0          18          1.38          14          5          2.60          5
     14       0.48         15         0          20          1.43          15          6          2.33          5
     15       0.52         16         0          21          1.40          16          6          2.50          5
     16       0.55         17         0          22          1.38          17          6          2.67          6
     17       0.59         18         0          25          1.47          18          6          2.83          6
     18       0.62         19         0          29          1.61          19          6          3.00          6
     19       0.66         20         0          36          1.89          20          5          3.80          6
     20       0.69         21         0          37          1.85          21          5          4.00          7
     21       0.72         22         0          38          1.81          22          5          4.20          7
     22       0.76         23         0          39          1.77          23          5          4.40          8
     23       0.79         24         0          40          1.74          24          5          4.60          9
     24       0.83         25         0          44          1.83          25          4          6.00          10
     25       0.86         26         0          52          2.08          26          4          6.25          10
     26       0.90         27         0          65          2.50          27          3          8.67          13
     27       0.93         28         0          69          2.56          28          2          13.50          24
     28       0.97         29         0          73          2.61          29          2          14.00          24
     29       1.00         30         0          95          3.28          30          1          29.00          29
